FROM,TO,TYPE,VALUE,dim,,,,,
c5,c1,dis,1410.918,meter,,C1,C2,1006.15375,1.9E-05
c5,c1,dis,1410.917,meter,,C1,C3,,
c5,c4,dis,916.988,meter,,C1,C4,494.2718,
c5,c4,dis,916.993,meter,,C1,C5,,
c5,c2,dis,2129.327,meter,,C2,C3,,
c5,c2,dis,2129.326,meter,,C2,C5,,
c4,c1,dis,494.2646,meter,,C3,C4,,
c4,c1,dis,494.2646,meter,,C4,C5,,
c4,c3,dis,375.4914,meter,,,,,
c4,c3,dis,375.4914,meter,,,,,
c4,c5,dis,917.0067,meter,,,,,
c4,c5,dis,917.0067,meter,,,,,
c1,c5,dis,1410.931,meter,,,,,
c1,c5,dis,1410.939,meter,,,,,
c1,c4,dis,494.279,meter,,,,,
c1,c4,dis,494.279,meter,,,,,
c1,c2,dis,1006.15,meter,,,,,
c1,c2,dis,1006.15,meter,,,,,
c1,c3,dis,410.821,meter,,,,,
c1,c3,dis,410.82,meter,,,,,
c3,c1,dis,410.83,meter,,,,,
c3,c1,dis,410.831,meter,,,,,
c3,c2,dis,1411.46,meter,,,,,
c3,c2,dis,1411.461,meter,,,,,
c3,c4,dis,375.494,meter,,,,,
c3,c4,dis,375.494,meter,,,,,
c2,c1,dis,1006.158,meter,,,,,
c2,c1,dis,1006.157,meter,,,,,
c2,c3,dis,1411.468,meter,,,,,
c2,c3,dis,1411.471,meter,,,,,
c2,c5,dis,2129.365,meter,,,,,
c2,c5,dis,2129.368,meter,,,,,
c4,c1,dir,0.272164704,rad,,,,,
c4,c3,dir,1.220145136,rad,,,,,
c4,c5,dir,3.366623772,rad,,,,,
c5,c2,dir,0.452944939,rad,,,,,
c5,c4,dir,0.845727893,rad,,,,,
c5,c1,dir,0.862207195,rad,,,,,
c3,c1,dir,4.653833184,rad,,,,,
c3,c2,dir,4.515071751,rad,,,,,
c3,c4,dir,3.296885748,rad,,,,,
c1,c3,dir,3.998316606,rad,,,,,
c1,c4,dir,4.839177454,rad,,,,,
c1,c5,dir,4.804270869,rad,,,,,
c1,c2,dir,0.661368279,rad,,,,,
c2,c1,dir,2.270711172,rad,,,,,
c2,c3,dir,2.327162877,rad,,,,,
c2,c5,dir,2.8627637,rad,,,,,
c1,c3,azi,0.615569749,rad,,,,,
