,FROM,TO,TYPE,VALUE,dim
0,c5,c1,dis,1410.9175,meter
1,c5,c4,dis,916.9905,meter
2,c5,c2,dis,2129.3265,meter
3,c4,c1,dis,494.4405,meter
4,c4,c3,dis,375.60900000000004,meter
5,c4,c5,dis,917.179,meter
6,c1,c5,dis,1410.935,meter
7,c1,c4,dis,494.279,meter
8,c1,c2,dis,1006.15,meter
9,c1,c3,dis,410.8205,meter
10,c3,c1,dis,410.8305,meter
11,c3,c2,dis,1411.4605,meter
12,c3,c4,dis,375.494,meter
13,c2,c1,dis,1006.1575,meter
14,c2,c3,dis,1411.4695,meter
15,c2,c5,dis,2129.3665,meter
16,c4,c1,dir,0.272164704,rad
17,c4,c3,dir,1.220145136,rad
18,c4,c5,dir,3.366623772,rad
19,c5,c2,dir,0.452944939,rad
20,c5,c4,dir,0.845727893,rad
21,c5,c1,dir,0.862207195,rad
22,c3,c1,dir,4.653833184,rad
23,c3,c2,dir,4.515071751,rad
24,c3,c4,dir,3.2968857480000002,rad
25,c1,c3,dir,3.9983166060000004,rad
26,c1,c4,dir,4.839177454,rad
27,c1,c5,dir,4.804270869,rad
28,c1,c2,dir,0.661368279,rad
29,c2,c1,dir,2.270711172,rad
30,c2,c3,dir,2.3271628769999997,rad
31,c2,c5,dir,2.8627637000000004,rad
32,c1,c3,azi,0.6155697489999999,rad
