FROM,TO,TYPE,VALUE,dim
c1,c2,dis,1006.15,meter
c1,c3,dis,410.83,meter
c1,c4,dis,494.27,meter
c1,c5,dis,1410.93,meter
c2,c3,dis,1411.42,meter
c2,c5,dis,2129.31,meter
c3,c4,dis,375.47,meter
c4,c5,dis,917.01,meter
c1,c3,dir,4.00,rad
c1,c4,dir,4.83,rad
c1,c5,dir,4.80,rad
c1,c2,dir,0.66,rad
c2,c1,dir,2.27,rad
c2,c3,dir,2.33,rad
c2,c5,dir,2.86,rad
c3,c1,dir,4.65,rad
c3,c2,dir,4.52,rad
c3,c4,dir,3.30,rad
c4,c1,dir,0.27,rad
c4,c3,dir,1.22,rad
c4,c5,dir,3.37,rad
c5,c2,dir,0.45,rad
c5,c4,dir,0.85,rad
c5,c1,dir,0.86,rad
c1,c3,azi,0.62,rad
