FROM,TO,TYPE,VALUE,dim
c1,c2,dis,1.72E-02,meter
c1,c3,dis,1.03E-02,meter
c1,c4,dis,5.23E-03,meter
c1,c5,dis,1.53E-03,meter
c2,c3,dis,-1.29E-02,meter
c2,c5,dis,-8.34E-03,meter
c3,c4,dis,5.39E-03,meter
c4,c5,dis,8.35E-03,meter
c1,c3,dir,-5.24E-05,rad
c1,c4,dir,-3.90E-06,rad
c1,c5,dir,1.75E-05,rad
c1,c2,dir,3.89E-05,rad
c2,c1,dir,-4.10E-06,rad
c2,c3,dir,5.00E-05,rad
c2,c5,dir,-4.59E-05,rad
c3,c1,dir,2.62E-06,rad
c3,c2,dir,5.50E-06,rad
c3,c4,dir,-8.12E-06,rad
c4,c1,dir,-2.02E-05,rad
c4,c3,dir,5.36E-06,rad
c4,c5,dir,1.48E-05,rad
c5,c2,dir,-5.36E-06,rad
c5,c4,dir,-4.79E-06,rad
c5,c1,dir,1.02E-05,rad
c1,c3,azi,4.56E-14,rad
