From,To,L n(m),L e(m),L u(m),Lb n(m),Lb e(m),Lb u(m),L0 n(m),L0 e(m),L0 u(m)
AB49,JACOBS,-179.723,-330.756,42.686,-179.723,-330.756,42.686,0,0,0
AB12,BS3,82.479,47.062,-9.322,82.479,47.062,-9.322,0,0,0
GPS2,BS3,-23.805,-106.683,10.374,-23.805,-106.683,10.374,0,0,0
AB43,AB42,32.377,-72.742,2.527,32.377,-72.742,2.527,0,0,0
GPS2,AB42,65.628,210.688,-11.903,65.628,210.688,-11.903,0,0,0
GPS3,JACOBS,-95.270,-306.207,39.412,-95.270,-306.207,39.412,0,0,0
AB47,AB48,-89.795,-8.687,4.770,-89.795,-8.687,4.770,0,0,0
AB49,AB48,40.833,91.235,-9.344,40.833,91.235,-9.344,0,0,0
AB49,GPS3,-84.454,-24.555,3.263,-84.454,-24.555,3.263,0,0,0
AB47,AB49,-130.624,-99.922,14.120,-130.624,-99.922,14.120,0,0,0
AB43,AB44,-143.277,101.429,-18.340,-143.277,101.429,-18.340,0,0,0
AB45,AB44,8.717,-78.410,3.219,8.717,-78.410,3.219,0,0,0
GPS2,AB12,-106.285,-153.748,19.695,-106.285,-153.748,19.695,0,0,0
AB47,AB46,93.873,-82.189,1.473,93.873,-82.189,1.473,0,0,0
AB45,AB46,-49.748,84.686,-4.927,-49.748,84.686,-4.927,0,0,0
AB43,GPS2,-33.264,-283.418,14.468,-33.264,-283.418,14.468,0,0,0
AB45,AB43,151.996,-179.841,21.558,151.996,-179.841,21.558,0,0,0
AB45,AB47,-143.628,166.884,-6.422,-143.628,166.884,-6.422,0,0,0
GPS2,C1,-4100.999,-6871.611,19.290,-100.999,128.389,19.290,4000,7000,0
C2,C1,-3081.280,-6589.708,-136.759,918.720,410.292,-136.759,4000,7000,0
C5,GPS2,-109.086,-1523.559,176.432,-109.086,-1523.559,176.432,0,0,0
C5,C3,125.376,-1158.024,167.212,125.376,-1158.024,167.212,0,0,0
C5,GPS3,-586.514,-1017.911,151.413,-586.514,-1017.911,151.413,0,0,0
GPS3,C1,-3623.574,-7377.265,44.271,376.426,-377.265,44.271,4000,7000,0
C3,C1,-4335.464,-7237.145,28.498,-335.464,-237.145,28.498,4000,7000,0
GPS2,C2,-1019.724,-281.907,156.441,-1019.724,-281.907,156.441,0,0,0
C5,C2,-1128.806,-1805.474,333.061,-1128.806,-1805.474,333.061,0,0,0
C3,GPS3,-711.890,140.115,-15.790,-711.890,140.115,-15.790,0,0,0
