,FROM,TO,TYPE,VALUE,dim
0,C1,C2,dis,1006.1951505074804,meter
1,C1,C3,dis,410.828616766496,meter
2,C1,C4,dis,494.2777816482946,meter
3,C1,C5,dis,1410.921930542816,meter
4,C2,C3,dis,1411.4651590721587,meter
5,C2,C5,dis,2129.346896045819,meter
6,C3,C4,dis,375.4875402657172,meter
7,C4,C5,dis,917.0011883251749,meter
8,C1,C3,dir,3.9983025739434273,rad
9,C1,C4,dir,4.834907519650727,rad
10,C1,C5,dir,4.8042670292098455,rad
11,C1,C2,dir,0.6613751801960008,rad
12,C2,C1,dir,2.270701184275178,rad
13,C2,C3,dir,2.3272255868866427,rad
14,C2,C5,dir,2.8627109778381796,rad
15,C3,C1,dir,4.653865911869811,rad
16,C3,C2,dir,4.515055574323642,rad
17,C3,C4,dir,3.296869196806549,rad
18,C4,C1,dir,0.27216810643693456,rad
19,C4,C3,dir,1.2201590992561657,rad
20,C4,C5,dir,3.366606406306902,rad
21,C5,C2,dir,0.45293836218561534,rad
22,C5,C4,dir,0.8457139007677208,rad
23,C5,C1,dir,0.8622277640466649,rad
24,C1,C3,azi,0.6153969494303416,rad
25,AB49,JACOBS,dn,-179.71491947244976,meter
26,AB49,JACOBS,de,-330.7704384574472,meter
27,AB49,JACOBS,du,42.64701366155677,meter
28,AB12,BS3,dn,82.47889391047374,meter
29,AB12,BS3,de,47.06727529326781,meter
30,AB12,BS3,du,-9.309867374183256,meter
31,GPS2,BS3,dn,-23.80212695536784,meter
32,GPS2,BS3,de,-106.68560029537457,meter
33,GPS2,BS3,du,10.363997548272238,meter
34,AB43,AB42,dn,32.37460503899092,meter
35,AB43,AB42,de,-72.73539365216857,meter
36,AB43,AB42,du,2.5322128314516306,meter
37,GPS2,AB42,dn,65.62623588296265,meter
38,GPS2,AB42,de,210.68587298559032,meter
39,GPS2,AB42,du,-11.888820727468726,meter
40,GPS3,JACOBS,dn,-95.26310152276028,meter
41,GPS3,JACOBS,de,-306.21057795083834,meter
42,GPS3,JACOBS,du,39.37909148300079,meter
43,AB47,AB48,dn,-89.79368465911284,meter
44,AB47,AB48,de,-8.692727125160673,meter
45,AB47,AB48,du,4.7677295391675045,meter
46,AB49,AB48,dn,40.82801947366124,meter
47,AB49,AB48,de,91.23921532548411,meter
48,AB49,AB48,du,-9.341067237291298,meter
49,AB49,GPS3,dn,-84.45181794968948,meter
50,AB49,GPS3,de,-24.559860506608857,meter
51,AB49,GPS3,du,3.2679221785559776,meter
52,AB47,AB49,dn,-130.62170413277408,meter
53,AB47,AB49,de,-99.93194245064478,meter
54,AB47,AB49,du,14.108796776458803,meter
55,AB43,AB44,dn,-143.27953540025374,meter
56,AB43,AB44,de,101.42292834958607,meter
57,AB43,AB44,du,-18.340757527154125,meter
58,AB45,AB44,dn,8.719373884177458,meter
59,AB45,AB44,de,-78.40881812574662,meter
60,AB45,AB44,du,3.208830316106429,meter
61,GPS2,AB12,dn,-106.28102086584158,meter
62,GPS2,AB12,de,-153.75287558864238,meter
63,GPS2,AB12,du,19.673864922455493,meter
64,AB47,AB46,dn,93.8780441818717,meter
65,AB47,AB46,de,-82.18672345637424,meter
66,AB47,AB46,du,1.4781470278083475,meter
67,AB45,AB46,dn,-49.75242241903925,meter
68,AB45,AB46,de,84.68538802136482,meter
69,AB45,AB46,du,-4.928014248483322,meter
70,AB43,GPS2,dn,-33.251630843971725,meter
71,AB43,GPS2,de,-283.4212666377589,meter
72,AB43,GPS2,du,14.421033558920357,meter
73,AB45,AB43,dn,151.9989092844312,meter
74,AB45,AB43,de,-179.8317464753327,meter
75,AB45,AB43,du,21.549587843260554,meter
76,AB45,AB47,dn,-143.63046660091095,meter
77,AB45,AB47,de,166.87211147773905,meter
78,AB45,AB47,du,-6.4061612762916695,meter
79,GPS2,C1,dn,-101.0134654290423,meter
80,GPS2,C1,de,128.38193577117636,meter
81,GPS2,C1,du,19.373506411704113,meter
82,C2,C1,dn,918.7201383161123,meter
83,C2,C1,de,410.34374414287686,meter
84,C2,C1,du,-136.8880505985813,meter
85,C5,GPS2,dn,-109.04371111622186,meter
86,C5,GPS2,de,-1523.579655332278,meter
87,C5,GPS2,du,176.36011486289163,meter
88,C5,C3,dn,125.40261307379205,meter
89,C5,C3,de,-1158.0334686652068,meter
90,C5,C3,du,167.21250213381126,meter
91,C5,GPS3,dn,-586.4949782400558,meter
92,C5,GPS3,de,-1017.946333698701,meter
93,C5,GPS3,du,151.36005113943384,meter
94,GPS3,C1,dn,376.4378016947917,meter
95,GPS3,C1,de,-377.25138586240064,meter
96,GPS3,C1,du,44.37357013516191,meter
97,C3,C1,dn,-335.4597896190562,meter
98,C3,C1,de,-237.16425089589484,meter
99,C3,C1,du,28.521119140784464,meter
100,GPS2,C2,dn,-1019.7336037451546,meter
101,GPS2,C2,de,-281.9618083717005,meter
102,GPS2,C2,du,156.2615570102854,meter
103,C5,C2,dn,-1128.7773148613765,meter
104,C5,C2,de,-1805.5414637039785,meter
105,C5,C2,du,332.62167187317704,meter
106,C3,GPS3,dn,-711.8975913138479,meter
107,C3,GPS3,de,140.0871349665058,meter
108,C3,GPS3,du,-15.852450994377449,meter
