,FROM,TO,TYPE,VALUE,dim
0,C1,C2,dis,1006.15375,meter
1,C1,C3,dis,410.8255,meter
2,C1,C4,dis,494.2718,meter
3,C1,C5,dis,1410.92625,meter
4,C2,C3,dis,1411.465,meter
5,C2,C5,dis,2129.3465,meter
6,C3,C4,dis,375.4927,meter
7,C4,C5,dis,916.9986,meter
8,C1,C3,dir,3.9983166060000004,rad
9,C1,C4,dir,4.834896549,rad
10,C1,C5,dir,4.804270869,rad
11,C1,C2,dir,0.661368279,rad
12,C2,C1,dir,2.270711172,rad
13,C2,C3,dir,2.3271628769999997,rad
14,C2,C5,dir,2.8627637000000004,rad
15,C3,C1,dir,4.653833184,rad
16,C3,C2,dir,4.515071751,rad
17,C3,C4,dir,3.2968857480000002,rad
18,C4,C1,dir,0.272164704,rad
19,C4,C3,dir,1.220145136,rad
20,C4,C5,dir,3.366623772,rad
21,C5,C2,dir,0.452944939,rad
22,C5,C4,dir,0.845727893,rad
23,C5,C1,dir,0.862207195,rad
24,C1,C3,azi,0.61567459,rad
25,AB49,JACOBS,dn,-179.715430316882,meter
26,AB49,JACOBS,de,-330.76674559695755,meter
27,AB49,JACOBS,du,42.644874592891725,meter
28,AB12,BS3,dn,82.47886510842406,meter
29,AB12,BS3,de,47.06647022055,meter
30,AB12,BS3,du,-9.310323845618033,meter
31,GPS2,BS3,dn,-23.802098149943067,meter
32,GPS2,BS3,de,-106.68479512832745,meter
33,GPS2,BS3,du,10.364454020085494,meter
34,AB43,AB42,dn,32.37965873986452,meter
35,AB43,AB42,de,-72.74080229855538,meter
36,AB43,AB42,du,2.5249064995965838,meter
37,GPS2,AB42,dn,65.62117362194512,meter
38,GPS2,AB42,de,210.6912907933403,meter
39,GPS2,AB42,du,-11.881514356075922,meter
40,GPS3,JACOBS,dn,-95.26259146791857,meter
41,GPS3,JACOBS,de,-306.2142651034308,meter
42,GPS3,JACOBS,du,39.38123052867108,meter
43,AB47,AB48,dn,-89.79586039880242,meter
44,AB47,AB48,de,-8.691407561774426,meter
45,AB47,AB48,du,4.760032832303479,meter
46,AB49,AB48,dn,40.83019537452623,meter
47,AB49,AB48,de,91.23789566434664,meter
48,AB49,AB48,du,-9.333370510551966,meter
49,AB49,GPS3,dn,-84.45411935165423,meter
50,AB49,GPS3,de,-24.5591530390391,meter
51,AB49,GPS3,du,3.2534154119608996,meter
52,AB47,AB49,dn,-130.62233844204013,meter
53,AB47,AB49,de,-99.92887897775961,meter
54,AB47,AB49,du,14.099847731765617,meter
55,AB43,AB44,dn,-143.27976179960396,meter
56,AB43,AB44,de,101.42350687385242,meter
57,AB43,AB44,du,-18.34647195326994,meter
58,AB45,AB44,dn,8.719600061096036,meter
59,AB45,AB44,de,-78.40939608162775,meter
60,AB45,AB44,du,3.2145446677107414,meter
61,GPS2,AB12,dn,-106.28104969773875,meter
62,GPS2,AB12,de,-153.75368149566398,meter
63,GPS2,AB12,du,19.673408445525006,meter
64,AB47,AB46,dn,93.87666025444263,meter
65,AB47,AB46,de,-82.1851337332813,meter
66,AB47,AB46,du,1.4762754403014933,meter
67,AB45,AB46,dn,-49.75103881915841,meter
68,AB45,AB46,de,84.68379867452674,meter
69,AB45,AB46,du,-4.926142659321384,meter
70,AB43,GPS2,dn,-33.25388191682423,meter
71,AB43,GPS2,de,-283.4202353102575,meter
72,AB43,GPS2,du,14.444985762639208,meter
73,AB45,AB43,dn,152.00149754679364,meter
74,AB45,AB43,de,-179.83555639042433,meter
75,AB45,AB43,du,21.560519370430175,meter
76,AB45,AB47,dn,-143.63466645095906,meter
77,AB45,AB47,de,166.878091080667,meter
78,AB45,AB47,du,-6.424678567370733,meter
79,GPS2,C1,dn,-101.00803111728658,meter
80,GPS2,C1,de,128.38350216155249,meter
81,GPS2,C1,du,19.28791714265603,meter
82,C2,C1,dn,918.724721373847,meter
83,C2,C1,de,410.3421550138962,meter
84,C2,C1,du,-136.63661938459964,meter
85,C5,GPS2,dn,-109.04541006626269,meter
86,C5,GPS2,de,-1523.5751927456604,meter
87,C5,GPS2,du,176.3133394148119,meter
88,C5,C3,dn,125.40248401661624,meter
89,C5,C3,de,-1158.0298035085284,meter
90,C5,C3,du,167.1409993805857,meter
91,C5,GPS3,dn,-586.4936928221955,meter
92,C5,GPS3,de,-1017.9476774280613,meter
93,C5,GPS3,du,151.28239327809916,meter
94,GPS3,C1,dn,376.4371794798517,meter
95,GPS3,C1,de,-377.25110001055504,meter
96,GPS3,C1,du,44.281343855193406,meter
97,C3,C1,dn,-335.459082662669,meter
98,C3,C1,de,-237.16232478680377,meter
99,C3,C1,du,28.447680546444932,meter
100,GPS2,C2,dn,-1019.7379644068985,meter
101,GPS2,C2,de,-281.96375410549103,meter
102,GPS2,C2,du,156.31712774763292,meter
103,C5,C2,dn,-1128.7788759450025,meter
104,C5,C2,de,-1805.547385879144,meter
105,C5,C2,du,332.8182672143702,meter
106,C3,GPS3,dn,-711.8965955160178,meter
107,C3,GPS3,de,140.0842522919569,meter
108,C3,GPS3,du,-15.850437640075514,meter
