,POINT,N,E,U,ORI,TYPE
0,AB12,3994.7324445632016,5717.865188640182,220.30035851075138,,cor
1,AB42,4166.639701312006,6082.303937214416,188.73767286082716,,cor
2,AB43,4134.265096273015,6155.039330866584,186.20546002937553,,cor
3,AB44,3990.9855608727617,6256.4622592161695,167.8647025022214,,cor
4,AB45,3982.266186988584,6334.871077341917,164.65587218611498,,cor
5,AB46,3932.513764569545,6419.556465363281,159.72785793763165,,cor
6,AB47,3838.6357203876737,6501.743188819656,158.24971090982328,,cor
7,AB48,3748.8420357285604,6493.050461694495,163.0174404489908,,cor
8,AB49,3708.014016254899,6401.811246369011,172.3585076862821,,cor
9,BS3,4077.2113384736754,5764.93246393345,210.99049113656812,,cor
10,C2,3081.279861683888,5589.656255857125,356.8880505985813,,cor
11,C3,4335.459789619061,6237.1642508959,191.47888085921554,,cor
12,C4,4058.5794409833757,6490.794228292478,,,cor
13,C5,4210.057176545266,7395.1977195611025,24.266378725404266,,cor
14,GPS2,4101.013465429043,5871.6180642288255,200.6264935882959,,cor
15,GPS3,3623.5621983052106,6377.251385862403,175.6264298648381,,cor
16,JACOBS,3528.29909678245,6071.040807911564,215.00552134783888,,cor
17,C1,,,,2.900279682666518,ori
18,C2,,,,4.432546332177116,ori
19,C3,,,,5.386308998329954,ori
20,C4,,,,4.321426442290552,ori
21,C5,,,,3.7007262942398755,ori
