,FROM,TO,TYPE,VALUE,dim
0,C1,C2,dis,0.041400507479391384,meter
1,C1,C3,dis,0.003116766502903162,meter
2,C1,C4,dis,0.005981648269142294,meter
3,C1,C5,dis,-0.004319457182628064,meter
4,C2,C3,dis,0.00015907216414222492,meter
5,C2,C5,dis,0.000396045818905781,meter
6,C3,C4,dis,-0.00515973427169599,meter
7,C4,C5,dis,0.0025883252032638626,meter
8,C1,C3,dir,-1.4032056585491969e-05,rad
9,C1,C4,dir,1.0970650776108532e-05,rad
10,C1,C5,dir,-3.8397901725888094e-06,rad
11,C1,C2,dir,6.901195981972248e-06,rad
12,C2,C1,dir,-9.987724823180298e-06,rad
13,C2,C3,dir,6.270988664431672e-05,rad
14,C2,C5,dir,-5.2722161821136434e-05,rad
15,C3,C1,dir,3.2727869772034255e-05,rad
16,C3,C2,dir,-1.61766764010379e-05,rad
17,C3,C4,dir,-1.6551193370996354e-05,rad
18,C4,C1,dir,3.4024369481693397e-06,rad
19,C4,C3,dir,1.396325623816967e-05,rad
20,C4,C5,dir,-1.736569318633901e-05,rad
21,C5,C2,dir,-6.576814373235357e-06,rad
22,C5,C4,dir,-1.3992232302791897e-05,rad
23,C5,C1,dir,2.0569046676027256e-05,rad
24,C1,C3,azi,-0.0002776405696535668,rad
25,AB49,JACOBS,dn,0.0005108444325611386,meter
26,AB49,JACOBS,de,-0.0036928604900587814,meter
27,AB49,JACOBS,du,0.0021390686650482565,meter
28,AB12,BS3,dn,2.8802049708821318e-05,meter
29,AB12,BS3,de,0.0008050727179210631,meter
30,AB12,BS3,du,0.0004564714347879378,meter
31,GPS2,BS3,dn,-2.8805424417589126e-05,meter
32,GPS2,BS3,de,-0.0008051670475256349,meter
33,GPS2,BS3,du,-0.0004564718132630981,meter
34,AB43,AB42,dn,-0.005053700873994693,meter
35,AB43,AB42,de,0.005408646386604069,meter
36,AB43,AB42,du,0.007306331855035811,meter
37,GPS2,AB42,dn,0.005062261017837194,meter
38,GPS2,AB42,de,-0.00541780775017048,meter
39,GPS2,AB42,du,-0.007306371392808714,meter
40,GPS3,JACOBS,dn,-0.0005100548418993811,meter
41,GPS3,JACOBS,de,0.0036871525915827133,meter
42,GPS3,JACOBS,du,-0.002139045670303653,meter
43,AB47,AB48,dn,0.002175739689456771,meter
44,AB47,AB48,de,-0.0013195633859346208,meter
45,AB47,AB48,du,0.007696706864031946,meter
46,AB49,AB48,dn,-0.0021759008650657926,meter
47,AB49,AB48,de,0.0013196611372572632,meter
48,AB49,AB48,du,-0.007696726739331004,meter
49,AB49,GPS3,dn,0.0023014019652645617,meter
50,AB49,GPS3,de,-0.0007074675692719846,meter
51,AB49,GPS3,du,0.014506766595094697,meter
52,AB47,AB49,dn,0.0006343092660095267,meter
53,AB47,AB49,de,-0.0030634728846465993,meter
54,AB47,AB49,du,0.008949044693190323,meter
55,AB43,AB44,dn,0.00022639935039817923,meter
56,AB43,AB44,de,-0.0005785242667147953,meter
57,AB43,AB44,du,0.005714426115805275,meter
58,AB45,AB44,dn,-0.00022617691852120357,meter
59,AB45,AB44,de,0.0005779558806381788,meter
60,AB45,AB44,du,-0.0057143516043115785,meter
61,GPS2,AB12,dn,2.8831897498480796e-05,meter
62,GPS2,AB12,de,0.0008059070210830957,meter
63,GPS2,AB12,du,0.00045647693047067163,meter
64,AB47,AB46,dn,0.0013839274287624956,meter
65,AB47,AB46,de,-0.001589723093248044,meter
66,AB47,AB46,du,0.001871587506873147,meter
67,AB45,AB46,dn,-0.0013835998808325242,meter
68,AB45,AB46,de,0.0015893468376022642,meter
69,AB45,AB46,du,-0.0018715891619342543,meter
70,AB43,GPS2,dn,0.0022510728517941064,meter
71,AB43,GPS2,de,-0.0010313275013956469,meter
72,AB43,GPS2,du,-0.023952203718857704,meter
73,AB45,AB43,dn,-0.0025882623625661655,meter
74,AB45,AB43,de,0.003809915091517675,meter
75,AB45,AB43,du,-0.010931527169609653,meter
76,AB45,AB47,dn,0.004199850048428421,meter
77,AB45,AB47,de,-0.005979602928094475,meter
78,AB45,AB47,du,0.018517291079048325,meter
79,GPS2,C1,dn,-0.005434311756185768,meter
80,GPS2,C1,de,-0.0015663903777567054,meter
81,GPS2,C1,du,0.08558926904807795,meter
82,C2,C1,dn,-0.004583057735044766,meter
83,C2,C1,de,0.0015891289786115594,meter
84,C2,C1,du,-0.25143121398167106,meter
85,C5,GPS2,dn,0.0016989500395354297,meter
86,C5,GPS2,de,-0.004462586617094394,meter
87,C5,GPS2,du,0.04677544807973165,meter
88,C5,C3,dn,0.00012905717852329613,meter
89,C5,C3,de,-0.003665156673918634,meter
90,C5,C3,du,0.07150275322555638,meter
91,C5,GPS3,dn,-0.0012854178600173025,meter
92,C5,GPS3,de,0.0013437293618018054,meter
93,C5,GPS3,du,0.07765786133467674,meter
94,GPS3,C1,dn,0.0006222149379048912,meter
95,GPS3,C1,de,-0.0002858518482234084,meter
96,GPS3,C1,du,0.09222627996850111,meter
97,C3,C1,dn,-0.0007069563916787222,meter
98,C3,C1,de,-0.0019261090966674072,meter
99,C3,C1,du,0.07343859433953352,meter
100,GPS2,C2,dn,0.0043606617437620945,meter
101,GPS2,C2,de,0.0019457337909337669,meter
102,GPS2,C2,du,-0.05557073734750288,meter
103,C5,C2,dn,0.001561083624563108,meter
104,C5,C2,de,0.005922175166447689,meter
105,C5,C2,du,-0.1965953411931643,meter
106,C3,GPS3,dn,-0.0009957978324984368,meter
107,C3,GPS3,de,0.002882674545939568,meter
108,C3,GPS3,du,-0.0020133543019272703,meter
